id,price,moonRank,💎 score (%),storeURL,Backgrounds,Backpacks,Bottoms,Headgear,Skin,Tops,Weapon,mintDate
3542,12.5,1226,63.54,https://magiceden.io/item-details/GA3xwekznCSqKUovWz3CvukvruQjm98QG1w1mDNim63i,Orange,Black Backpack,White Pants,Wolf Hat,Remnant2,Blue Shirt,Bloody Axe,22/12/2021 18:01:42
3567,15,1028,40.55,https://magiceden.io/item-details/BX3vUNAWHuNDzareFmXWSJVe1Yh7Qb1E8D8GHcQJ53P4,Light Grey,No Backpack,Black Pants,SOL Balaclava,Remnant3,Black Trenchcoat,Battleaxe,15/01/2022 18:00:55
3616,15,2211,28.52,https://magiceden.io/item-details/A6vKhjjJMPsDcjypKjCaBjZnJJZUfDuH2gukkUz1PQkZ,Dark Grey,Black Backpack,Cargos,Blue Cap,Remnant3,Black Shirt,Bloody Sword,08/01/2022 18:01:12
3700,14.5,944,46.4,https://magiceden.io/item-details/Cq378jhc2wbAfx6TRa7BF8i6YhLQ5kDNpeMenxMTfsmN,Blue,Brown Backpack,Black Pants,Red Beanie,Remnant3,Green Jumper,Bloody Metal Bat,15/01/2022 18:00:28
3750,14.899,3677,14.63,https://magiceden.io/item-details/7uhQ2w8PWiL5e81RFxmYKKNR8hNVuehcC44oY89FWXLg,Dark Grey,No Backpack,Black Shorts,Red Bandana,Remnant2,Red Shirt,Torch,15/01/2022 18:00:48
3844,14,2932,31.2,https://magiceden.io/item-details/5AQLC92ZM2uy6baqy87gjP6cCcKi1Xb2Tj4f6RhzUuuy,Green,Black Backpack,White Jeans,Black Beanie,Remnant3,Yellow Shirt,Red Flare,15/01/2022 17:46:42
3870,17,2075,9.91,https://magiceden.io/item-details/3Q2ksdJ1TPavP9fTnFFS6cQLWpuj63aMK2WQaYX7uJS3,Orange,Black Backpack,White Jeans,Red Cap,Remnant3,Red Shirt,Pistol,22/12/2021 18:03:29
3882,15,2985,20.66,https://magiceden.io/item-details/FGrE6XQBFAgSkgEz7Tj4B6SnMSQf82btW1XqKBooDiyj,Light Grey,No Backpack,Black Shorts,Motorcycle Helmet,Remnant1,Green Puffer Jacket,Torch,15/01/2022 18:00:02
3968,18,3787,0,https://magiceden.io/item-details/7DSLJL7pXPXQwmv27PfyoDrZb9q8dQwhtjJpEkixrgAB,Orange,No Backpack,Black Jeans,Black Helmet,Remnant1,Grey Hoodie,Wooden Spear,15/01/2022 18:00:43
3974,16,2629,14.28,https://magiceden.io/item-details/5NnjdQPDBYVCKXSJmDzUnR5qgDEP2NcMdEpb3Yb6YULd,Blue,No Backpack,White Pants,Grey Hair,Remnant2,Blue Hoodie,Metal Spear,15/01/2022 18:00:11
