id,price,moonRank,💎 score (%),storeURL,Background,Cloth,Eyes,Hair,Hat,Mouth,Necklace,Skin,Type
7427,300,1098,0,https://magiceden.io/item-details/4UgeiswZbDAzfiAeT8BBgrw7gL6sJ41noQ7a7cqwaJCX,Soft Blue,Pink Stripes,Heart Glasses,Combed Haircut,Witch Hat,Base Mouth,No Trait,Human,Aurorian
7432,69,4050,0,https://solanart.io/nft/2fz3SRWvMaQJaD8FQwaKqXZUksEZ7PtSFafsdp2VgjeJ,Gradient Blue,Base Cloth,Steampunk Glasses,Shaved,No Trait,Zipper Mask,Aurory Necklace,Human,Aurorian
7456,60,4609,0,https://solanart.io/nft/3Fxd47west91ND7PCKcJmf2NVRTzwJZtqo71qLCCMsL5,Base Background,Leather Jacket,Heart Glasses,Shaved,No Trait,Cat Mask,No Trait,Human,Aurorian
7491,59.9,7011,0,https://magiceden.io/item-details/9s8BUzqQS4Pu8i3U9Xp5SaVdXUFNTHt8VsTzucpG4CN7,Base Background,Base Cloth,Base Eyes,Zero Two Hair,No Trait,Zipper Mask,Solana Necklace,Human,Aurorian
7542,80,3329,0,https://magiceden.io/item-details/3yeghv6PYWVgEVqjAURQn86DYZnvTB7R369M7AeZ2N8x,Base Background,Pink Stripes,Base Eyes,Clementine Hair,Luffy Hat,Base Mouth,Aurory Necklace,Human,Aurorian
7569,48,8478,0,https://solanart.io/nft/3QhyHzsbAkhNnNAzDMUfn6SiV6NoYf7vmtyiZUQdVG4d,Base Background,Polo,Base Eyes,Brown Dreadlocks,No Trait,Base Mouth,No Trait,Human,Aurorian
7579,52.400002,6882,0,https://solanart.io/nft/2qX8w4E6rKqv4oXVwL3jVRuyULr6je92QFN7ohgia5vt,Soft Blue,Black T-Shirt,Cat Eyes Red,No Trait,No Trait,Base Mouth,Aurory Necklace,Human,Aurorian
7585,77,3507,0,https://solanart.io/nft/H28UBksHfh4FoTzyGK6y2ZazCDTFfBYJprZwJodk1cE3,Base Background,Shoulder Straps,Green,Long Blob Hair,No Trait,Base Mouth,No Trait,Human,Aurorian
7612,64,4279,0,https://magiceden.io/item-details/58viJM1G2hkx2j2r7P281U8RaLuAHwuYm5GKxtYVRFQc,Base Background,Pink Stripes,Green Eyes,No Trait,No Trait,Steampunk Mask,Flower Necklace,Human,Aurorian
7662,75,520,0,https://solanart.io/nft/3vuQMevCZD89hb5g12mzrptsuoEVJPmMYWe4CyKkgp6Q,Soft Blue,Leather Jacket,Cat Eyes Black,Playmobil,No Trait,Paint Mask,Shark Necklace,Human,Aurorian
7695,215,361,0,https://magiceden.io/item-details/DscdeousNJDcr7PLWU8apSQt57mUxL97vUfYwPkUDfpU,Base Background,Green Sweater,No Trait,Playmobil,No Trait,Big Smile,Aurory Necklace,Golden Blob,Aurorian
7699,70,1202,0,https://solanart.io/nft/Bj11eZZdUSQhXuKeaWq2VgGTbcG9JMxcQq8eia4xEWK6,Base Background,Overalls,Viper Shades,No Trait,Crazy Horse Hat,Paint Mask,No Trait,Human,Aurorian
7741,89,4466,0,https://magiceden.io/item-details/7RxtFEgqMFQRNGMtBMWuGcb6GavAzHRkJBW4hBSFDm7z,Soft Blue,Base Cloth,Black Eyes,Purple Dreadlocks,No Trait,Zipper Mask,No Trait,Human,Aurorian
7767,51,1656,0,https://magiceden.io/item-details/EyUSBSM8NwPakccCAMZvfZtnx8ToUrQHLqRVLfXrwoYu,Blue,Jean Jacket,Base Eyes,Curly,No Trait,Steampunk Mask,Aurory Necklace,Human,Aurorian
