id,price,moonRank,💎 score (%),storeURL,Assist,Background,Cloth,Eyes,Games Won,Head,Kills,Mouth,Rank,Skin,Total Damage,Weapon
2063,4.5,4835,35.48,https://solanart.io/nft/HtNjp5WsSRDTC8fPBbVMmBzMmWsmtJSMhSKJKeJAKX61,TBD,Green,Grey-Tee,Yellow,TBD,Japanese Casual,TBD,Normal,TBD,Green,TBD,Demon Head
2090,3,1936,73.87,https://magiceden.io/item-details/CDEjYA5Zqv22PsZcbuaJLEEkXgnJUCpiB1zJyuFxmvro,TBD,Purple,Black Tamba,Myth Sunglass,TBD,Flames,TBD,Normal,TBD,red,TBD,Tentacles
2110,3,1439,77.89,https://magiceden.io/item-details/8DbFbsvwZ4WEtKjaP38WJDyVyF3BNXmw61Sddu64cbGK,TBD,Cyan,X21 Hunter,Dollar Shades,TBD,Man Bun,TBD,Normal,TBD,normal,TBD,Claws
2150,6,1087,50.73,https://solanart.io/nft/HynbZUxSRwqgZs6EYRYbTiCxgqwhKqehPuXtwuwgMDyS,TBD,Dark Cyan,Grey Jacket,Yellow,TBD,Red Casual,TBD,Red M21,TBD,Normal,TBD,Transformer
2174,7,3304,22.83,https://solanart.io/nft/6Qk8cAhxwyYtzMJ1zuq9bP2S6QEg5Hr11xiHdXTTXxd6,TBD,Dark Cyan,F21 Jacket,Rounded Spec,TBD,Pony & Band,TBD,Normal,TBD,Normal,TBD,Angel Feather
2183,2.99,104,88.76,https://magiceden.io/item-details/CmJJ72vVFe2NUz96gByD32eoE9uS8AjvVed4eFn4h14Q,TBD,Blue,Broly,Sunglass V1,TBD,Flames,TBD,Normal,TBD,red,TBD,D16 alien
2196,3.99,1792,65.14,https://magiceden.io/item-details/8WbZunwW6brN8JiUu47MwLX6WWc9YdtKhiQutYRmDXxG,TBD,Green,Red Gladiator,Steampunk,TBD,Flames,TBD,Normal,TBD,green,TBD,Igniting Glare
2205,4.2,373,74.49,https://magiceden.io/item-details/FUVAVFzjec1YGLYA5CPDvUQ7G6eEx1JQz9J4h9eMWxH9,TBD,Brown,White Krish,Blue,TBD,Flames,TBD,Censored,TBD,Purple,TBD,Iron Spike
2227,4,3662,49.94,https://magiceden.io/item-details/HqQCMfJwzGLhpxNpp2pFXii42ivsBurgy4NB9kRAZeaD,TBD,Dark Cyan,Shelby,Blue,TBD,Cadet,TBD,Normal,TBD,Normal,TBD,Transformer
2272,2.98,628,84.63,https://magiceden.io/item-details/4y2JitSucNrTJxWR5tXaNt81e7NBhxt4v5D2SJc2Fcnv,TBD,Red,Blue Gladiator,Myth Sunglass,TBD,Ponytail,TBD,Normal,TBD,green,TBD,Tentacles
2300,3.5,3081,59.63,https://magiceden.io/item-details/2d9NnvWAfAxA3CWFUCAxPSMyeuEb6EqsgNBjtPHZqGL8,TBD,Red,Red Luffy,Green,TBD,Cadet,TBD,Normal,TBD,Green,TBD,Unheard Agony
2310,2.49,4216,60.57,https://magiceden.io/item-details/7xAdV4c1YAr1Npne8c1CpDD2tTi8rkx84jjXqnnNKu62,TBD,Purple,Black Tamba,Cyan,TBD,Sombero,TBD,Normal,TBD,Red,TBD,Laser Gun
2318,3.6,636,78.37,https://magiceden.io/item-details/Gp8Erjb2ULE2G5fKaktM8aChCpAgmzis6SiP1pmcgWQr,TBD,Purple,Blue Stripe,Dollar Shades,TBD,Ponytail,TBD,Normal,TBD,red,TBD,Laser Gun
2320,3.5,1364,73.49,https://magiceden.io/item-details/48HceqYNTECEaDPuanzrFfAz1yckRMJv6TLFfNtXEq8d,TBD,Dark Cyan,Blue Gladiator,Green,TBD,Formal,TBD,Cigar M28,TBD,Normal,TBD,Dino Thunder
2346,4,1842,64.63,https://magiceden.io/item-details/8Nd7FhydTnMH1QfD8LYeooPKAh9wAh4e7jwdox2ZkXeq,TBD,Purple,Black-Tee,Sunglass V3,TBD,Flames,TBD,Normal,TBD,red,TBD,Dp-28
2354,2.55,388,90.87,https://magiceden.io/item-details/89NqmRnfjtMhGrBknXafZSkY7yznJ1rnHqTuRzDeVKKU,TBD,Brown,Silver Terminator,Brown,TBD,Flames,TBD,Sci Fi,TBD,Purple,TBD,Radium Gun
2382,2.29,2105,79.61,https://solanart.io/nft/A21s98tudNFKeEwHX9Jo22bxwSrSTnYT6B1nnqJxAgTo,TBD,Blue,Blue Gladiator,Band Blue,TBD,Blue Ivy,TBD,Normal,TBD,Red,TBD,Boulder Spike
2400,6,3110,34.4,https://solanart.io/nft/3gSopBLdbmKhgDbfQTMKGdJN5PiyptBBJoxiptKnjkdd,TBD,Green,Black Willow,Rounded Spec,TBD,Brown Fez,TBD,Normal,TBD,Green,TBD,Blue Knife
2427,4,4477,43.37,https://solanart.io/nft/J7Fq1y1t6cHR2R1izXbsiDBNyaEERDwXdD2ZMnxYhEa6,TBD,Dark Cyan,White Krish,Cyborg Red,TBD,Aqua,TBD,Normal,TBD,Normal,TBD,Dino Thunder
2442,2.94,4634,52.7,https://magiceden.io/item-details/HxQCK1J6kiNAGPgMxZQJk13EU5BHhfokhmTVaNXRatAf,TBD,Dark Cyan,Black Tamba,Rounded Spec,TBD,Aqua,TBD,Normal,TBD,Normal,TBD,Grim Reaper
2444,2.9999,2461,69.64,https://magiceden.io/item-details/4GXX5LSckqydVuAyX8V4kq5jF3PsENmmeCKRn7EupmQm,TBD,Violet,Blue Luffy,Cyborg Red,TBD,Breton,TBD,Normal,TBD,Purple,TBD,Saber
2458,2.8,972,83.65,https://magiceden.io/item-details/G8pKYMToNm9hRFnTYn1kAXZTfWbreGgQUEv4bihUuAqV,TBD,Purple,Red Gladiator,Green,TBD,Formal,TBD,Demon B&W,TBD,Red,TBD,Machine Gun
2469,3.38,1354,74.77,https://solanart.io/nft/6cLTy7QknNkcHAhjbB8FfVrMQgqjoKwyJsXjXJdW4VjX,TBD,Purple,Medieval Purple,Brown,TBD,Flames,TBD,Neon Viper,TBD,Red,TBD,Transformer
2473,3,943,81.89,https://magiceden.io/item-details/2tzmYeDrzp3tEdgjoJk5fiyE3nzsLrCgR3U3P8e7NfgU,TBD,Cyan,Silver Terminator,Yellow,TBD,Flames,TBD,Red M21,TBD,Normal,TBD,Claws
