id,price,moonRank,💎 score (%),storeURL,Accessory,Aura,Back,Background Color,Body,Ears,Eyebrows,Eyes,Feet,Hair Color,Hair Type,Head,Legs,Mouth,Race,Racial Variant
5796,2.96,3266,83.78,https://magiceden.io/item-details/BwW848ukHE4ohVaCAmQWZ9EFdBh1YoNwNNqgYqKwDKKh,,Meeko Chain Aura,,#8ce647,,03,06,27,Pink School Shoes,grey,26,,Pink Miniskirt,04,elf,
5810,4.4,1690,75.71,https://magiceden.io/item-details/Gy5R6Bv3BgtcajtkqdETzarMEmYc5HorHiXHPVEe1Ptt,,Neon Circles Aura,,#ff984a,,01,01,32,Pink Flip Flops,blonde,17,,Pink Miniskirt,02,elf,
5822,3.89,2775,76.45,https://magiceden.io/item-details/9xLsuUh9SQ6MWCSdn3A9JqoMQhfdouF5HZ4jgUByFrpT,,Pink Hearts Aura,,#87fff3,,02,14,12,Red Flip Flops,brown,04,,Green Shorts,01,human,
5826,4,NaN,0,https://magiceden.io/item-details/GS7HZPVq1M7fKP3VDTYReDwkJPg66DygbXnLhShxABnd,,,,,,,,,,,,,,,,
5862,2.8,2571,88.17,https://magiceden.io/item-details/3S9GC3PbD3SxtM1SDebgVCVbrxCKwdBdwaWsYK9UPEQ6,,Pink Sparkles Aura,,#232234,,01,11,07,Black Running Shoes,black,04,,Black Cargo Shorts,04,elf,
5879,4,721,83.6,https://magiceden.io/item-details/DdL1JxkRuCTVrU5FMtPwKmGfhXXPo8eZodbxrv8bqk6i,,Formal Sparkly Diamonds Aura,,#f14345,,01,12,31,Strappy Brown Sandals,red,36,,Brown Cargo Shorts,01,catfolk,04
5922,2.98,975,92.78,https://magiceden.io/item-details/573iPK96SVjLq3KF67xyLVY1tJxyy9BMoUBn59NK6Wkp,,White Broken Glass Aura,,#61a8ff,,03,03,09,Tall White Boots,grey,37,,Plain White Baggy Pants,01,orc,
5937,3.36,1409,87.24,https://magiceden.io/item-details/J9s1E3VFVSwUa4fSQU4fjwx7gd2zEDV3qbN4su3zpgSD,,Rave A Aura,,#7158ff,,03,,31,Strappy Brown Sandals,brown,22,,Pink Polka Dot Pencil Skirt,03,elf,
6020,3.9,5159,66.77,https://magiceden.io/item-details/HWjZqFYawQ9gfhD9Ec2iPtTiQ73ijt4iUAAPmZ3bAUDY,,Sheep Pajamas Aura,,#85e8a9,,01,12,02,Tall Green Boots,red,14,,Green Shorts,01,catfolk,02
6025,2.69,2129,91.04,https://magiceden.io/item-details/GA5sx7iDDKh4TSdcjizaEiVEiFuEwrwyBh6ds9hyTfhx,,Orbs B Aura,,#232234,,01,02,17,Tall Green Boots,grey,17,,Green Pants,02,orc,
