id,price,moonRank,💎 score (%),storeURL,Face,Feet,Generation,Hat,Outfit,Pants,Rank,Skin,Type
21057,0.0275,NaN,0,https://magiceden.io/item-details/A1qsmjmQGWdsQ1AkKXS1DWnQNDBQgGxoJEmwM3FzLEk8,,,,,,,,,
21387,1.95,NaN,0,https://solanart.io/nft/8YBRrBmdKy7P2H3B7ZWMZV1meAEYDjAHah7dPq7i69SL,,,,,,,,,
21966,0.04,NaN,0,https://solanart.io/nft/4JGV3C6LX2pJGNYGgSqcEjqonD8NtV98rF3YKqL3yPDz,,,,,,,,,
22077,0.02,NaN,0,https://magiceden.io/item-details/EpFuo9q6PUPy5ReRrqnLJXTV97hso6nuQk7incRExBsZ,,,,,,,,,
22260,0.019,NaN,0,https://magiceden.io/item-details/BijBe6VLEV3vo4L2gxrwursV111PoydZXdpPoR9a2doR,,,,,,,,,
22379,0.02,NaN,0,https://magiceden.io/item-details/2kuCpB5xepwn3VMT41JdWsX3bynJy59do826pQjqNtgp,,,,,,,,,
22384,0.0275,NaN,0,https://magiceden.io/item-details/BG8mCnF8nJWe2pvmh29Q51HAfuRHUA8TPHfKT8KRWntQ,,,,,,,,,
22503,0.29,NaN,0,https://solanart.io/nft/6bUXgn4FnH1WhCTr9Q6ixEaFvLo7m1mPytjnpCydSZNF,,,,,,,,,
22874,6,NaN,0,https://solanart.io/nft/Auphzn9M1f2xLEKad8mnnJNkb7n4HnQpcafSGa79fVeJ,,,,,,,,,
23283,0.019,NaN,0,https://magiceden.io/item-details/CGtBLYrQHYT7BYPDPsrQFVg4dgRViNDSAm1jFvtM8DHt,,,,,,,,,
23342,0.0274,NaN,0,https://magiceden.io/item-details/4MNYEbprQsQnTy2i9MBEvYGeDMFxW7pbfVXMbnHixd5G,,,,,,,,,
23654,1.5,NaN,0,https://solanart.io/nft/6Y9vjN6z2yLKYxRWY2yoZdKZgQtESJ6GNe4ZVaVNN7PT,,,,,,,,,
23694,0.025,NaN,0,https://magiceden.io/item-details/2QGipxwRMEi69Dc2oNkW7wRM2Y1DcSDnwe8W966ZezsA,,,,,,,,,
23723,0.019,NaN,0,https://magiceden.io/item-details/6kUJExvRxi8RwoEEVYpmSnhSta8w1Misfs7G8x4b3tbq,,,,,,,,,
23855,1.09,NaN,0,https://solanart.io/nft/Cb7Zw5nPnyCDtpXDbwqRAMHznFYvxVkCSZPwqteiFrLo,,,,,,,,,
23872,1.504,NaN,0,https://solanart.io/nft/7c4ttYEpBzXogwSsqe8ZZGnQbX2hXUGEJfixXkgih2zv,,,,,,,,,
24059,0.025,NaN,0,https://magiceden.io/item-details/AmRbpoTcy4ADpxTKMd3D56brZjJoboSAFKurg5om1gPA,,,,,,,,,
24431,0.35,NaN,0,https://solanart.io/nft/BGLXuFX1u3NjBiUDQqAP7pAf5L8tLZp7fN43bYbY338D,,,,,,,,,
24488,1.5,NaN,0,https://solanart.io/nft/2pgTnGRoHAJX5EwJfqsAVbfLkQ4uXyEJC5zpUbdDrRy8,,,,,,,,,
24616,0.0274,NaN,0,https://magiceden.io/item-details/GbojdCqvsT5G8nXwEnLHPEsF129eqfAdFgfZzQeJkFR,,,,,,,,,
25015,0.79,NaN,0,https://solanart.io/nft/BKmDHBZcwQ9nKTfAfKxTUFUCP5x43kK8HYFTFDBhFWwE,,,,,,,,,
25132,0.017,NaN,0,https://magiceden.io/item-details/58Qb32xKyVoLAH1fkfn51eDgtVALfGkFLaFZ5jKujdeN,,,,,,,,,
25222,0.14,NaN,0,https://solanart.io/nft/Fqk26Xwfm9HFtmXgsPpbSLUmxKekj2SPPMGGNoYzdScF,,,,,,,,,
25466,0.02,NaN,0,https://magiceden.io/item-details/6V4kAq4r9uuj65PtgkQj68ZTsTFFNQkCfgYvB5aU7U43,,,,,,,,,
25636,0.04,NaN,0,https://solanart.io/nft/CVicfsmF7H1zsMkKGiC26pcFvu6nQmutrvH2yT6hCyhU,,,,,,,,,
25708,0.04,NaN,0,https://solanart.io/nft/4CX1D5AprDozSQLp5RYhGfwXwMaxLgSadihdni272UAf,,,,,,,,,
25810,0.04,NaN,0,https://solanart.io/nft/DGgtdyXUAdkRcjxTXS4kmE7VgTrVjnQnATjr5UjCGcaL,,,,,,,,,
25912,0.04,NaN,0,https://solanart.io/nft/8V8NJCQs2zUYBR97Ar6Q2p7mF8oeZium5icVK73pW8VQ,,,,,,,,,
25989,1.504,NaN,0,https://solanart.io/nft/FEtVyfdTngGRYqzxpFDHaf6V9fYFJyyVoidCf9rLntyx,,,,,,,,,
26475,0.7,NaN,0,https://solanart.io/nft/ANpKxynimJrfJ9mEBPKpTjKP5xjd2SLp8QZr76RctxAy,,,,,,,,,
26545,0.44,NaN,0,https://solanart.io/nft/64TJBG9UfuQ8di6PT4qKWM1jJQF52XdBoeAzsdz6Camh,,,,,,,,,
26554,0.0274,NaN,0,https://magiceden.io/item-details/Ftb1Uphrhwr5e4Fh396jxP12vCNnW82nRQ7D9uf7q2Kx,,,,,,,,,
26738,0.0275,NaN,0,https://magiceden.io/item-details/4F5YCgr8KyVmGQQNjhMiYJwDqxD3ukd6e4Qx5vHuztKC,,,,,,,,,
27116,0.29,NaN,0,https://solanart.io/nft/BE6eMwPQ5wFDB1U9T9STogu2Bi9iVUPRhDA54cHBpVEz,,,,,,,,,
27470,0.49,NaN,0,https://solanart.io/nft/EEa5u6kpJprH4aSSj3TWnfRnDBcydr8xpHmAYKYyP9X5,,,,,,,,,
27577,1.504,NaN,0,https://solanart.io/nft/Hnow1J5CuhnZ853HAshXcyk7BEfhycYeUJRpmMuTiqn7,,,,,,,,,
27740,0.04,NaN,0,https://solanart.io/nft/FtcREeGQ1U9JTsV97MwwipZ9iRYMgXKeeymc4enGbFsU,,,,,,,,,
27829,1.79,NaN,0,https://solanart.io/nft/51GMw72n7Kqi4G1412YzN8Z26zpXHDnH5uSj2xkbMesX,,,,,,,,,
27860,0.04,NaN,0,https://solanart.io/nft/AAu27nSNEKBG1kbs6q6weBtsWjhHoRoqCPQNBXBL9WwB,,,,,,,,,
28301,0.04,NaN,0,https://solanart.io/nft/APFt2tvgdQdU7VJ4sbGZ24xhN5Kb7Mq7LAC1m3EGAVbx,,,,,,,,,
28445,0.29,NaN,0,https://solanart.io/nft/4SvV4sT2EDCYVs4Y1o5kpnXTNJYRojbKsHhnPk8mgDen,,,,,,,,,
28570,0.29,NaN,0,https://solanart.io/nft/AAvLijFU5bSMzDSKEzbnj7kbY8hZcX76MDuo7xQvngiZ,,,,,,,,,
28616,0.2,NaN,0,https://solanart.io/nft/ErDpPy87bhWaEjY28ueTqmt2kdzpbHDbz2EtaNU4pRWu,,,,,,,,,
28628,0.025,NaN,0,https://magiceden.io/item-details/5e82gxq1krca38iYdfdKCTuYB8pXCEe7RiaZF8vqfEeK,,,,,,,,,
28709,0.02,NaN,0,https://magiceden.io/item-details/GVXKadms9bBBZTtxWGhhCDGfNhRCrvq7MSri6HZkitRC,,,,,,,,,
28774,0.6,NaN,0,https://solanart.io/nft/BmcSG4Z8jnvS4RLmwFdrLtDLuJFqiYoskGi787cGSmjL,,,,,,,,,
29009,0.35,NaN,0,https://solanart.io/nft/CDAPYWjePPtAXBPFU1jZMpG4RThEx5Bjp4WXUYtroJ7G,,,,,,,,,
29202,1.5,NaN,0,https://solanart.io/nft/2D6PNyPFghvbyGUwJqv3L4eq8Q8Abby7ifAT676oVuQg,,,,,,,,,
29213,0.05,NaN,0,https://solanart.io/nft/4ridHoPY3RcneGWgECDpdw3YjovxsDaTb5ctjwh7jD7N,,,,,,,,,
29466,0.29,NaN,0,https://solanart.io/nft/HUSz7MfYqGCDqv4rE3EqRenX3gnkeFQ5nMSFkQies85z,,,,,,,,,
29467,0.25,NaN,0,https://solanart.io/nft/8EGJMRW3C9tH79aNEvHe5igcMAzGXaPg6pL2BGrkPa3U,,,,,,,,,
29648,1,NaN,0,https://solanart.io/nft/HzEsQNAXfxd1SNP4Lvib5WjG1YaJujJd6yWLqafdEnkL,,,,,,,,,
29702,0.025,NaN,0,https://magiceden.io/item-details/J6tMpT6LKQARhZYtb4rZCVaWQs1sBmAGJ3aQzrtNm2ja,,,,,,,,,
30012,0.22,NaN,0,https://solanart.io/nft/9CdnS9C8nRv7vCSFaDWG5Bj9zJoUBxN5LJHpzV9FoEah,,,,,,,,,
30036,1.504,NaN,0,https://solanart.io/nft/4ZFAE21amzNYEHyu87tjQ4rxx3YbxpfCaWbktmg4a44s,,,,,,,,,
30311,0.0275,NaN,0,https://magiceden.io/item-details/3MeXQQL6sKxWU2KVDFFu3sC9Ebv6NXhqUZgtL9jqFsV1,,,,,,,,,
30744,0.02,NaN,0,https://magiceden.io/item-details/Hi1cowi4HpLZYpqWeFUKWGh4hSXARSqp5WeC7h8nj5cy,,,,,,,,,
30879,0.04,NaN,0,https://solanart.io/nft/6n7ndH6hktepWxX6VcYZZH51zms8wBjnebZmjqmnDxpD,,,,,,,,,
30883,0.6,NaN,0,https://solanart.io/nft/88h8zVVKWbWdA41dppNisGUnjphQvTrB685rczAWm5vj,,,,,,,,,
30893,0.29,NaN,0,https://solanart.io/nft/FB828ZDn7G85U5gBThfRNHaHdyFD5hiiHmjeH7dGWQyF,,,,,,,,,
30959,0.0275,NaN,0,https://magiceden.io/item-details/F78wuhbJmkkLPvKVGPTy1GJ6zAxgWRkC4QF77LRBLn6i,,,,,,,,,
30994,0.25,NaN,0,https://solanart.io/nft/DSMQLLyq6Q6YkzPmmsVF3FrGW5AetPUxDBrM2P7MvHVQ,,,,,,,,,
31130,3.5,NaN,0,https://solanart.io/nft/CesLcKyw13yx53DZz5in17eRHVZ67NU9VPqm1MupNF2o,,,,,,,,,
31440,0.04,NaN,0,https://solanart.io/nft/83U9XTpk7hFWfthbEo9v9AE9nEVwE1ABuaQmoGabWead,,,,,,,,,
