id,price,moonRank,💎 score (%),storeURL,Background,Edition,Eyes,Head,Mouth,Outfit,Skin
4042,4.9,7494,60.35,https://magiceden.io/item-details/AUYLQ2TA8pWEqXHStBJjmvjGh4qjTzTH9paTzCRN6jPj,Amaranth,,Angry,None,Smile,Shirt Flannel Yellow,Natural
4067,5,3666,79.09,https://magiceden.io/item-details/9YRmLgGrw1jhBVY8SzrTD5oEaCwcAjPB1yP9ntZiMg3H,Emerald,,Sleepy,Bucket Hat Blue,Closed,Tank Top Purple,Natural
4100,8,7112,31.32,https://magiceden.io/item-details/96ZHCej11h8BZLk4Swi3hxPTEgQ3nQxeJeDqtPUyAQ4B,Sky,,Jaded,Headband Dark,Closed,Hoodie Pink,Natural
4128,12,2568,14.76,https://magiceden.io/item-details/D8povShzzkJP41jQSkxFhxRR4GCNBS8yuCPFTmrgidxG,Blue,,Scar,None,Closed,Captain Red,Natural
4172,9.69,1517,43.28,https://magiceden.io/item-details/7QZCZpi23znX1GJ2YfCkiNyA8rCv3ae5EGo2kvtpWPzb,Pink,,Thug,Backwards Cap Blue,Stache,Shirt Flannel Yellow,Natural
4188,5.330490405,6164,62.91,https://magiceden.io/item-details/3x876PQHY8da7CxnvuqpmMTSpHi28EEydKnq1wxfXaGv,Pink,,Jaded,Headband Patterned,Smug,Turtleneck Blue,Natural
4194,5,5973,67.2,https://magiceden.io/item-details/8qzoWqysdXYtP2VPtBPYj7JcpRNguwKcLVUiYSZRXC9Q,Amaranth,,Standard,Headband White,Fangs,Scarf Striped,Natural
4225,10,2362,35.82,https://magiceden.io/item-details/GPTCzjuu6Vt9SnRdghqVExviB7PHRCyfLMX9XR3xvs6b,Persimmon,,Thug,Cap Dark,Smile,Tank Top Dark,Natural
4226,5,3327,80.84,https://magiceden.io/item-details/Cgdm2iT73KyDwKDpoyM5maQnrLz8GjQZZzefGFepLdpP,Sky,,Raised,Bucket Hat Blue,Smug,Shirt Flannel Green,Natural
4231,9.9,1224,42.69,https://magiceden.io/item-details/G1DJpHw9BM8JarMYBEj7eWWdN1wMoGxBiatgG5hqpLN4,Amaranth,,Mutated,Bucket Hat Blue,Drool,COPE,Natural
4236,5.330490405,5345,67.13,https://magiceden.io/item-details/pzBMmo3Kdso6BDgp29cnPwFbn4fGmo5tuy6RaB75wWV,Sky,,Shades,Bucket Hat Green,Drool,Scarf Red,Natural
4241,7,7675,38.42,https://magiceden.io/item-details/A3Kv14tKpUd5Rh24iKffBHp5am411LiwFQtPHbVgF9vk,Green,,Jaded,None,Smile,Shirt School,Natural
4249,6,5767,58.26,https://magiceden.io/item-details/9AmxsX7PtDUBwYmpt25SL7Cjc2zJ8GdcfZ6t1VBwDQzP,Green,,Blank,Bucket Hat Green,Smirk,Turtleneck Blue,Natural
4289,6,7503,49.3,https://magiceden.io/item-details/7QUjhgLfLYUqijNMBVeWjfddnh4pUvBoTVzA8y5NXMp2,Purple,,Angry,None,Closed,Turtleneck Blue,Natural
4383,12,1227,21.67,https://magiceden.io/item-details/BoiZayfdjLzyKNchMJLkNvw8j7BQitM4EYrheBDCifhH,Rose,,Wink,Pirate,Smug,Sweater Light,Natural
4390,6.9,7223,41.75,https://magiceden.io/item-details/EFLQwMSXznh63Gkph7fk6ubzEwwgXnyuaMN59q9vWitY,Yellow,,Thug,None,Smile,Turtleneck Green,Natural
4404,6.5,7203,45.85,https://magiceden.io/item-details/J1RcPJHBDjJq2tvcFdxV3yPrsgSsj3L8AEhFieA3jQ6B,Purple,,Shades,None,Smug,Sweater Purple,Natural
4489,11,414,35.86,https://magiceden.io/item-details/H1YWPCAwRQ9zo5pPkVjwUFKD2t1hDcanwokXCsszu9sF,Pink,,Solana,COPE,Smile,Hoodie Light,Natural
4503,5.330490405,6765,59.81,https://magiceden.io/item-details/EckhKztqTWnRajKYgvvDG1rHrGAJGwXZgakrQwsWKhqg,Alabaster,,Standard,Cap Blue,Smile,Sweater Red,Natural
4506,7,797,73.89,https://magiceden.io/item-details/EDKcp9MxrgSZ6hNoxaNbqS3pHsD36BWs3c5311RC2nj,Purple,,Mutated,Safari,Smirk,COPE,Natural
4584,10,4731,23.6,https://magiceden.io/item-details/EmxJMg4wext87kBjf3kffi8SfTi6xKGQL77t2EyBRfov,Green,,Blank,Backwards Cap Camo,Fangs,Sweater Purple,Natural
4611,7.5,7238,35.67,https://magiceden.io/item-details/7L5zTx5JohUFB6JSzqVg5ES3k7BXRFuF7sFaE1wDLtqw,Pink,,Synth,None,Closed,Shirt Green,Natural
4654,10,6465,14.66,https://magiceden.io/item-details/9UiBh8J83auKLvsPajQtz9aLWftNrnZ8U2Z6PoMHvbLU,Rose,,Wink,Backwards Cap Camo,Smirk,Shirt Flannel Red,Natural
4668,7,1562,69.94,https://magiceden.io/item-details/GYEnGuExtdWqma9u91WrBiqBCmYvCRZheiVY894xy4mD,Yellow,,Thug,Valet,Grin,Hoodie Blue,Natural
4685,9.5,647,49.66,https://magiceden.io/item-details/8zVpYLtjf8kvCKjvn8y29CX7n3ejKZW19CMUCYHY9sXK,Persimmon,,Synth,Centurion,Smile,Turtleneck Orange,Natural
4696,8.23,4127,44.42,https://magiceden.io/item-details/5E91mYFtWMDyNEENraz2iyxkW2n6ACJFVh4TPXAtpnWR,Yellow,,Wink,Cap Dark,Smirk,Sweater Dark,Natural
4824,8,1880,58.3,https://magiceden.io/item-details/6FmxHWdDkDzvJMCsPmZYrPFE6xBPyTt6r5n3TXYFrFe3,Straw,,Raised,Afro,Closed,Sweater Green,Natural
4828,8,7637,28.61,https://magiceden.io/item-details/6Z23p2xWU3LK82wE8594qVSkZWbHVTCVEkfpK1gYdx3h,Rose,,Standard,None,Fangs,Sweater Dark,Natural
4856,5,2945,82.81,https://magiceden.io/item-details/9W5JaNqYpp5jezHRFsj1sLLchxov7VWVeRxiAE2fEQdU,Rose,,Sleepy,Headband Dark,Drool,Shirt Camo,Natural
