id,price,moonRank,💎 score (%),storeURL,Background,Edition,Eyes,Head,Mouth,Outfit,Skin
3464,36.9,4714,0,https://magiceden.io/item-details/FRj6yuLB5fRmA4N6SSu8pbit991sK571fwk2oZ4TbPUV,Violet,,Standard,Afro,Closed,Shirt Flannel Blue,Natural
3497,40,3842,0,https://magiceden.io/item-details/CcWjmwiwuemFaUji3NAxoCaHK6BVjB6JUAfNVJrRbsvr,Yellow,,Synth,Backwards Cap Pink,Smug,Turtleneck Green,Natural
3525,45,3867,0,https://magiceden.io/item-details/9dXtTpa5DmxxFWyfoVVzkum2R9p7uXCdXQukpVMTeAU4,Pink,,Raised,Bucket Hat Ivory,Fangs,Shirt Flannel Yellow,Natural
3586,35,6459,6.65,https://magiceden.io/item-details/FyeExkuqhtKYzFMQtSWHLYT4H2oLGweCn7dXrWJ7yuCg,Emerald,,Jaded,Bucket Hat Ivory,Smile,Shirt Blue,Natural
3642,35,7359,2,https://magiceden.io/item-details/BBsZqNAXN14v5VLoNXWjN2wvw5cQByaKmQ29qAnf7nyn,Mint,,Blank,None,Fangs,Shirt Flannel Red,Natural
3658,40,7508,0,https://magiceden.io/item-details/DeSRychE3ECqgFRJmgAZnY2TRFdNArS1td6Gs3znbc4R,Straw,,Jaded,None,Closed,T-Shirt Dark,Natural
3804,31.88,2930,56.07,https://magiceden.io/item-details/H15ZhK3bWxrjdG8TmnjVnsUxgYrbnUPJWi59eEYKCgf9,Green,,Wink,Valet,Smirk,Shirt Flannel Yellow,Natural
3884,45,7563,0,https://magiceden.io/item-details/EBvgNFTGxHvKgT7W5dkHyaHY2CMc7LKsL6HdYGY6H754,Mint,,Wink,None,Fangs,Tank Top Pink,Natural
3922,42.069,5105,0,https://magiceden.io/item-details/EEgYmcBAtyLCh1p93a48TTard3z3wmdmh2WvUyJ5H7Fu,Champagne,,Thug,Headband Patterned,Smug,Shirt School,Natural
3934,40,4380,0,https://magiceden.io/item-details/DgzdFdQPHaXERvPtZfo6Fgwb7LYfVpFZRHHPhQdc6zpy,Champagne,,Thug,Cap Blue,Drool,Tank Top Pink,Natural
3949,40,4305,0,https://magiceden.io/item-details/51r8apwQnTvPXFFi9ppUjsuaG8fkP6c9UuL7cDXkbqLi,Blue,,Shades,Backwards Cap Camo,Drool,Tank Top Purple,Natural
4016,43,3716,0,https://magiceden.io/item-details/7hcDZUPh63tvnqf52CcL5huGvwPVnNFfGVywMBV6Z1Jo,Persimmon,,Thug,Cap Blue,Closed,Hoodie Blue,Natural
4051,34.8,6865,6.55,https://magiceden.io/item-details/Cb9VD1Lh4dHJC3HufpbW6Z97AN6iTeh72kQNTauupNbK,Emerald,,Wink,None,Smile,Shirt Pineapple,Natural
4122,45,1805,0,https://magiceden.io/item-details/AF6Aqu6WHwS1Re1W3EfQK4JqKjGgDu1KpADZR7scdvpF,Purple,,Blank,Valet,Grin,Tank Top Purple,Natural
4132,40,5114,0,https://magiceden.io/item-details/68QQwJxqpmgwgP2GRGJp5XUctxn1tGUyL2AAWqEzmZF5,Violet,,Wink,Cap Dark,Blep,Shirt Flannel Green,Natural
4231,30,6687,55.47,https://magiceden.io/item-details/E45emKdMqJ1VtD7na9LJjA2L2sVA6NvzhR4YZ6cTAjVC,Mint,,Jaded,Bucket Hat Green,Fangs,Scarf Red,Natural
4378,39,4335,0,https://magiceden.io/item-details/8spmHspHWxWBGK7EGe4SfiRedaYgwEQnGAMZk7Qe73x8,Straw,,Eye Patch,Backwards Cap Camo,Blep,Scarf Red,Natural
4451,41,1238,0,https://solanart.io/nft/FPtBF5VjvYy9uc1LXHFBqZUyv8X3JdPthfAqVk78AbEF,Rose,,Blank,Bucket Hat Blue,Stache,Shirt Flannel Red,Natural
4534,45,6856,0,https://magiceden.io/item-details/CGeMz1EbBmSsKrbgWXC5AgdSesNqcpb9iAMYYWdbJPu2,Green,,Jaded,Bowler Light,Grin,Shirt Flannel Yellow,Natural
4538,33,6617,25.83,https://magiceden.io/item-details/BWtn2NJHXurGkEdhkaDBYSc29ohCM9keLBkaMFkCgHTU,Green,,Standard,Bucket Hat Green,Smirk,Shirt Green,Natural
4621,30,6880,54.47,https://magiceden.io/item-details/3PRjfMwUEguSp7yioykXpJcYyw2xPxEMKW3qrMBrSRaM,Purple,,Standard,Bucket Hat Ivory,Grin,Sweater Light,Natural
4629,325,1045,0,https://solanart.io/nft/2wBwJ8aeDpFVvM5B2VZ2Dgn2JwMdUWnQsY4iVUfu7LN2,Champagne,,Mutated,Centurion,Smile,Sweater Red,Natural
4647,39.9,6302,0,https://magiceden.io/item-details/CC2froFzwRBujAiFqNMSB1QV41bRr5auEhEeSDGnPy9Z,Champagne,,Synth,None,Stache,Sweater Purple,Natural
4724,45,4592,0,https://magiceden.io/item-details/57yEe9akPqBxcFPZHE7uGzqXhGGn5ioGKpGJcEJDDcHp,Orange,,Standard,Headset,Smirk,Shirt Flannel Yellow,Natural
4791,37,5098,0,https://magiceden.io/item-details/4axo3cJDc4AdqELx1RJu5CV9iL6sJtmSCZdioRuFSiTv,Orange,,Blank,Bucket Hat Ivory,Smug,Shirt Flannel Yellow,Natural
4798,45,7045,0,https://magiceden.io/item-details/CvbpqPc18sQY1Ehebuvc7Vc3uszoXaVMY5b5FTctVeU4,Emerald,,Synth,None,Smug,Shirt Camo,Natural
4831,77,6512,0,https://solanart.io/nft/4u4nfK6jFqec3UaFtJ2dLkheL9FMYtWjikCX2xNYkgAo,Champagne,,Standard,None,Fangs,Astronaut Orange,Natural
4852,35,7434,1.61,https://magiceden.io/item-details/ChywPshMqPFnT1ksFKfAsFnS7yiYc82pyMR31wzDQ4q7,Purple,,Scar,None,Smug,Sweater Purple,Natural
4885,41,4235,0,https://magiceden.io/item-details/2QGrGq7TmipS2cWWPiQUEmNdri5j2XJPHV1bghH4YAvJ,Pink,,Eye Patch,Backwards Cap Pink,Grin,Shirt School,Natural
4927,40,6139,0,https://magiceden.io/item-details/4Jn7wXCxCVHepzHXXwKwXPSF3Nzcu8YPc7dt2fCRkXMU,Purple,,Standard,Backwards Cap Dark,Smug,Shirt School,Natural
5036,40,3105,0,https://magiceden.io/item-details/DHYXiuK5iAZ9isLmZNomGm2qZpA5Ne3mTBbU2CbCCUEo,Yellow,,Sleepy,Bowler Dark,Drool,Shirt School,Natural
5040,40,1089,0,https://magiceden.io/item-details/AbGEoivktpdm5EYjoiijBN3Rwqt8LDLFDiygGGTzp9JD,Rose,,Raised,Bucket Hat Blue,Stache,Shirt Flannel Blue,Natural
5278,31,2518,67,https://magiceden.io/item-details/J35L77AVGZcqeZt11cxDWDk3bN2WE2H3vvLfKpQMYmum,Purple,,Scar,Bucket Hat Blue,Smirk,Hoodie Green,Natural
5403,35,6533,6.26,https://magiceden.io/item-details/GCtuiKdGTesWevyLePt2uvpSb3EqUaBurCY1SaRunsak,Rose,,Jaded,Bucket Hat Ivory,Closed,Tank Top Purple,Natural
5534,33,2959,44.72,https://magiceden.io/item-details/8NpxQC7WYQBXZ2HCi4iDNAsHDy8dGoH7CAZf8EbRF9NR,Alabaster,,Mutated,Headband Dark,Smug,Sweater Dark,Natural
5543,42,2314,0,https://solanart.io/nft/C6hkaw7GmJEHnGJbPvHz3XXRRh98YmGEjLhiv4d8aWJN,Amaranth,,Jaded,Afro,Stache,Turtleneck Blue,Natural
